Ticker,Company Name,Currency,Exchange,Country/Region,Type,Price,Avg Vol
MAAT FP Equity,MaaT Pharma SACA,EUR,FP,FR,Common Stock,12.2,457.0333
VLA AV Equity,Valneva SE,EUR,AV,FR,Common Stock,11.69,5467.067
EDEN EU Equity,Edenred,EUR,EU,FR,Common Stock,45.09,1170568
ILIAF US Equity,Iliad SA,USD,US,FR,Common Stock,#N/A N/A,#N/A N/A
ALWED FP Equity,Wedia SA,EUR,FP,FR,Common Stock,42.9,266.9
GJAJ FP Equity,Groupe JAJ,EUR,FP,FR,Common Stock,1.61,791.7667
AFP S1 Equity,Air France-KLM,EUR,S1,FR,Common Stock,1.859,6432.793
ALEXA FP Equity,Exacompta Clairefontaine,EUR,FP,FR,Common Stock,104,42.46667
FGR EU Equity,Eiffage SA,EUR,EU,FR,Common Stock,91.9,539599.2
CAPMF US Equity,Capgemini SE,USD,US,FR,Common Stock,191.73,253.1333313
ALINT FP Equity,IntegraGen,EUR,FP,FR,Common Stock,1.07,4253.167
CBE FP Equity,Robertet SA,EUR,FP,FR,Common Stock,883.3,7.466667
E2F TH Equity,Electricite de France SA,EUR,TH,FR,Common Stock,8.266,28227.73
FURCF US Equity,Faurecia SE,USD,US,FR,Common Stock,27.39,755.333313
MLSRP FP Equity,Speed Rabbit Pizza SA,EUR,FP,FR,Common Stock,7.5,64
ALPRI FP Equity,Prismaflex International,EUR,FP,FR,Common Stock,9.79,337.9333
ALBI FP Equity,Gascogne,EUR,FP,FR,Common Stock,3.45,1497.9
CS EU Equity,AXA SA,EUR,EU,FR,Common Stock,23.715,15642840
THLEF US Equity,Thales SA,USD,US,FR,Common Stock,121,132.2666626
LFDEEUR EU Equity,Francaise Energie,EUR,EU,FR,Common Stock,52.4,32049.47
CAFO FP Equity,Cafom SA,EUR,FP,FR,Common Stock,10,909.5333
ELIOREUR EU Equity,Elior Group SA,EUR,EU,FR,Common Stock,2.846,2707005
ALSKY FP Equity,Skytech SA,EUR,FP,FR,Common Stock,#N/A N/A,#N/A N/A
EDFP S1 Equity,Electricite de France SA,EUR,S1,FR,Common Stock,8.696,1921.267
SZEVF US Equity,Suez SA,USD,US,FR,Common Stock,#N/A N/A,0
ARTO FP Equity,Societe Industrielle et Financiere de l'Artois SA,EUR,FP,FR,Common Stock,4880,10.7
LRLCF US Equity,L'Oreal SA,USD,US,FR,Common Stock,355.94,1601.93335
ML EU Equity,Cie Generale des Etablissements Michelin SCA,EUR,EU,FR,Common Stock,122.05,1148131
ALAGP FP Equity,Agripower France SA,EUR,FP,FR,Common Stock,8.35,3512.6
EAPIP EB Equity,Euroapi SA,EUR,EB,FR,Common Stock,13.688,#N/A N/A
ONXEO DC Equity,Onxeo SA,DKK,DC,FR,Common Stock,2.675,6433.667
940 GF Equity,Euroapi SA,EUR,GF,FR,Common Stock,13.66,#N/A N/A
CBOT FP Equity,CBo Territoria,EUR,FP,FR,Common Stock,3.85,16460.8
TTFNF US Equity,TotalEnergies SE,USD,US,FR,Common Stock,58.95,11409.9668
AIP S1 Equity,Air Liquide SA,EUR,S1,FR,Common Stock,161.77,763.0667
ORA EU Equity,Orange SA,EUR,EU,FR,Common Stock,11.674,14686150
ADUX FP Equity,ADUX SA,EUR,FP,FR,Common Stock,1.92,2014.567
ALLGO FP Equity,Largo SA,EUR,FP,FR,Common Stock,7.81,2658.8
ALTER FP Equity,Theradiag SA,EUR,FP,FR,Common Stock,1.772,15648.2
THNPF US Equity,Technip Energies NV,USD,US,FR,Common Stock,12.954,191.6000061
VLOUF US Equity,Vallourec SA,USD,US,FR,Common Stock,14.07,231.3666687
AXA TH Equity,AXA SA,EUR,TH,FR,Common Stock,23.69,35514.57
AXAHF US Equity,AXA SA,USD,US,FR,Common Stock,25.05,3617.100098
MALT FP Equity,Malteries Franco Belges,EUR,FP,FR,Common Stock,505,33.03333
SANP EB Equity,Sanofi,EUR,EB,FR,Common Stock,100.51,3059174
VACD TH Equity,Vallourec SA,EUR,TH,FR,Common Stock,13.065,6666.033
DSYNV FP Equity,Dassault Systemes SE,EUR,FP,FR,Common Stock,#N/A N/A,0
DUAVF US Equity,Dassault Aviation SA,USD,US,FR,Common Stock,170,583.5333252
JJ FP Equity,Crown European Holdings SA,EUR,FP,FR,Common Stock,#N/A N/A,#N/A N/A
MONC FP Equity,Financiere Moncey,EUR,FP,FR,Common Stock,6000,1.266667
XPO FP Equity,GXO Logistics Europe SAS,EUR,FP,FR,Common Stock,#N/A N/A,#N/A N/A
ALMND FP Equity,Montagne & Neige Developpement SACA,EUR,FP,FR,Common Stock,3.125,6031.5
ALUVI FP Equity,UV Germi SA,EUR,FP,FR,Common Stock,4.05,2598.167
EO IF Equity,Faurecia SE,EUR,IF,FR,Common Stock,25.5,302.5333
SNW GY Equity,Sanofi,EUR,GY,FR,Common Stock,100.58,3952.5
BSN GR Equity,Danone SA,EUR,GR,FR,Common Stock,55.25,8590.366
PONGF US Equity,Atari SA,USD,US,FR,Common Stock,0.19,47654.30078
SCR EU Equity,SCOR SE,EUR,EU,FR,Common Stock,24.63,1059010
SGE TH Equity,Societe Generale SA,EUR,TH,FR,Common Stock,25.57,30083.8
